Title,Artists,Location
The Abstracts,The Abstracts,L101
Time Rag,Joan Baez,"L103 too lazy to make new release. its 12"""
In For The Count,Balance (10),L103
Tragedy,Arc Angel (2),L102
Love Child,Accept,L101
Strangers In The Night,Peter Baumann,L103
Balls To The Wall,Accept,L101
Balance,Balance (10),L103
Heaven Is Hell,Accept,L101
Midnight Mover,Accept,L101
Kaizoku-Ban,Accept,L101
Wonderland,American Standard,L101
"Wassup, Wassup!",A-Town Players,L102
Color Blind,Acrylix,L101
The Bears,The Bears (3),L104
Three Squares And A Roof,Balancing Act,L103
Volume II,The Band Of The Black Watch,L103
The Accelerators,The Accelerators,L101
1-800-Godhouse,Barkmarket,L103
One Child,Ernestine Anderson,L101
Anxious Moments,Anxious Moments,L102
El Cantor Numero Uno Del Tango,Roberto Goyeneche,Ecuador
This Love,Daniel Ash,L102
She Never Looked That Good For Me (Remix),Autograph (2),L103
Lisa Hartman,Lisa Hartman,rock
The Closer You Get...,Alabama,L101
40 Hour Week,Alabama,L101
40 Hour Week,Alabama,L101
Christmas,Alabama,L101
Aviator,Aviator,L103
Have I Told You Lately That I Love You?,Jim Reeves,L126
Axe,Randy Bachman,L103
Up Up And Away,"Arthur Fiedler, The Boston Pops Orchestra",L118
The Idols Of Rock & Roll,Various,Soundtrack
The Idols Of Rock & Roll,Various,Soundtrack
The Touch,Alabama,L101
Jesse Barish,Jesse Barish,L103
Dam It,Beaverteeth,L104
Listen To Your Heart,Paul Anka,L102
"Red, Hot & Blue",Richard T. Bear,L104
Airplay,Airplay (4),L101
Bear,Richard T. Bear,L104
Bear,Richard T. Bear,L104
Headlines,Paul Anka,L102
That's The Stuff,Autograph (2),L103
My Home's In Alabama,Alabama,L101
Feels So Right,Alabama,L101
Picks On The Beatles,Chet Atkins,Rock
Side By Side,Archie & Edith,L102
Hard Time Hungrys,Bobby Bare,L103
Hard Time Hungrys,Bobby Bare,L103 2nd copy
Cowboys And Daddys,Bobby Bare,L103
Morris Albert,Morris Albert,L101
Two's Company,Aztec Two-Step,L103
The Winner And Other Losers,Bobby Bare,L103
Love And Life,Morris Albert,L101
Adjoining Suites,Aztec Two-Step,L103
Both Sides Of Love,Paul Anka,L102
Susan Barlow,Susan Barlow,L103
Do Re Mi: The New Musical [Original Broadway Cast],Original Broadway Cast [Do Re Mi],"Upstairs, soundtrack"
Arizona,Arizona (3),L102
My Kind Of Songs,Ed Ames,L101
Susan Barrett,Susan Barrett,L103
My Cup Runneth Over,Ed Ames,L101
"Time, Time",Ed Ames,L101
When The Snow Is On The Roses,Ed Ames,L101
Ed Ames Sings The Hits Of Broadway And Hollywood,Ed Ames,L101
South Pacific & Oklahoma!,"George Feyer, Rodgers & Hammerstein","Upstairs, classical"
The Best Of Jim Reeves,Jim Reeves,L147
Feliciano!,José Feliciano,L117
Sings Who Will Answer? (And Other Songs Of Our Time),Ed Ames,L101
The Romantic World Of Eddy Arnold,Eddy Arnold,L102
Goodnight My Love,Paul Anka,L102
Love Of The Common People,Ed Ames,L101
Life Goes On,Paul Anka,L102
70's,Paul Anka,L102
Befour,Brian Auger & The Trinity,L103
Sing Away The World,Ed Ames,L101
Pickin' My Way,Chet Atkins,L102
Picks On The Hits,Chet Atkins,L102
Sign In Please,Autograph (2),L103
ChangesOneBowie,David Bowie,L106
A Time For Living A Time For Hope,Ed Ames,L101
C.R.E.A.M. (Cash Rules Everything Around Me),Wu-Tang Clan,L165
The Unexplained (Electronic Musical Impressions Of The Occult),Ataraxia (2),3130
Quiet Music For Quiet Listening,Various,Upstairs (jazz section)
His Greatest Hits And Finest Performances,Marty Robbins,Upstairs
Strictly Arnold,Jimmy Arnold,L102
Oceans,Artery (2),L102
Farewell To The Shade,And Also The Trees,L101
Vox Humana: The ¡Alarma! Chronicles Vol. III,Daniel Amos,L101
I'm In Touch,Simon Ådahl,L101
Live - At The Olympia In Concert,Charles Aznavour,L103
Hobo's Lullaby,Arlo Guthrie,l121
Come Ray 'N Come Charles,Allen Davies Singers,L101
Aznavour,Charles Aznavour,L103
His Love Songs In English,Charles Aznavour,L103
. . . Than Whom None Greater,"Charles Aznavour, Paul Mauriat And His Orchestra",L103
Sings His New Love Songs In French,Charles Aznavour,L103
How Come The Sun,Tom Paxton,L142
American Avatar,"The Lyman Family, Lisa Kindred",L101
Holland,The Beach Boys,L104
Good Vibrations: Best Of The Beach Boys,The Beach Boys,L103
Love You,The Beach Boys,L103
Sunflower,The Beach Boys,L103
The World Of Charles Aznavour All About Love,Charles Aznavour,L103
The Jimi Hendrix Concerts,Jimi Hendrix,L123
Vol. 2,The West Coast Pop Art Experimental Band,rock
Fall In Love With Me,Randy Barlow,L103
Featuring Sweet Melinda,Randy Barlow,L103
Body Talkin',Kathy Barnes,L103
Bangah,Bangah,L103
Rock Starve,The Bags (2),L103
I'm Gonna Love You 'Til I Don't,Otis Ball,L103
One Of Our Girls (Has Gone Missing),A.C. Marias,L101
Moss Side Story,Barry Adamson,L101
Bakersfield Boogie Boys,Bakersfield Boogie Boys,L103
Amazing Adult Fantasy,Barnes & Barnes,L103
Tales Of The New West,The Beat Farmers,L104
War At Megiddo / It Is Done,16:16,L101 (before the A marker)
One Hit (To The Body),The Rolling Stones,L148
Tattoo You,The Rolling Stones,L148
Do It Now: 20 Giant Hits,Various,Soundtracks
Hit Explosion,Various,Soundtracks
Positively Spooked,Band Of Holy Joy,L103
Old & In The Way,Old & In The Way,L141
Moving Pictures,Russ Barenberg,L103
The New New Orleans Music: New Music Jazz,"The New Orleans Saxophone Ensemble, The Improvisational Arts Quintet",upstairs jazz/funk/soul section
Plays Music From 'The Empire Strikes Back',Meco Monardo,"Upstairs, soundtrack"
Time Pieces (The Best Of Eric Clapton),Eric Clapton,L109
Them / Green Door,Appliances-SFB,L102
Skyy Line,Skyy,L152
Just A Groove,Glen Adams Affair,L101
I'll Fly Away,"Dolores Barrett, The Barrett Sisters",L103
I'll Fly Away,"Dolores Barrett, The Barrett Sisters",L103
I Wanna Be With You,Armenta,L102
Lethal,"UTFO, Anthrax",L102
SFB,Appliances-SFB,L102
Asylum Choir II,"Leon Russell, Marc Benno",L102
Trouble Doll (The Disappointing 3rd LP),B.A.L.L.,L103
Period (Another American Lie),B.A.L.L.,L103
Skip Battin,Skip Battin,L103
History Skid,The American Vandals,L101
An Anthology Of Folk Music,Various,L102
Greatest Hits Of Bach,Johann Sebastian Bach,Classical
Baroque Brass,The Empire Brass Quintet,L103
Assemblage,Assemblage (2),L102
Sulk,The Associates,L102
Love Hangover / 18 Carat Love Affair,The Associates,L102
Paul Anka Gold,Paul Anka,L102
Never Never (Extended Version) / Stop / Start (Extended Version),The Assembly,L102
Never Never (Extended Version) / Stop / Start (Extended Version),The Assembly,L102
Q Quarters,The Associates,L102
White Car In Germany,The Associates,L102
Fourth Drawer Down,The Associates,L102
Somebody Spent Their Whole Life There,Max Able,L101
Ballad Shambles,Ballad Shambles,L103
What Kind Of Girl (Are You) ?,Apb (2),L102
Cooler Than Death,"Stephen Ashman, Zasu Pitts Memorial Orchestra",L102
Mantiqueira,Nelson Ayres (2),L103
Four Song E.P.,Art In The Dark,L102
Four Song E.P.,Art In The Dark,L102
Dreamchaser,Ancient Future,L101
More Than A Dream,Steve Bach,L103
Far Away In America,"Band Of Outsiders, Certain General",L103
Disgrace To The Corpse Of Elmo / Lotus Fucker,"Exithippies, Lotus Fucker",L117
Polka Party Vol. 2,Stanley Pulaski And His Orchestra,World Music
Act 1,Act 1,L101
I Against I,Bad Brains,L103
Black Pyramid,Always August,L101
Largeness With (W)holes,Always August,L101
Geography,Always August,L101
"Best Of The Beach Boys, Vol. 2",The Beach Boys,L103
Where Are All The Nice Girls?,Any Trouble,L102
Live And Alive,Any Trouble,L102
The Art Of Letting Go,Andy Giorbino,L102
Circus Earth,Art Frontier,L102
Environments 9 Pacific Ocean / Caribbean Lagoon,No Artist,"upstairs, left stacks, shelf closest to door."
Ain't Nothing To It,Anacostia,L101
Original & Traditional Music,Tom Akstens,L101
Television's Greatest Hits (65 TV Themes! From The 50's And 60's),Various,Soundtracks
The Story So Far,Battlefield Band,L103
Things,Actuel,L101
Combinations,David Beaver,L104
Blessing And Curse,Band Of Susans,L103
Flute Cake,Jethro Tull,"WE HAVE THE BOOTLEG OF THIS ALBUM, DI, DI, MY LOVELY"
In Memoriam,Woody Guthrie,L160
Monticello,Bastards (2),L103
16 Greatest Hits,Frankie Avalon,L103
Corrupt Minds,Acrophet,L101
The Pear Tree,And Also The Trees,L101
Vampire Comin,Laurence Beall & The Sultans,L104
Vampire Comin,Laurence Beall & The Sultans,L104
"6 Sonatas For Flute And Harpsichord, K. 10-15","Wolfgang Amadeus Mozart, Gottfried Hechtl, Beatriz Klien","Upstairs, classical Upstairs, classical"
Head,The Batfish Boys,L103
The Ballad Of Shirley Goodness & Mercy (As Told By Balderdash),Balderdash (2),L103
Disco Gold #3,Dimensional Sound,L114
Comin' Right At Ya,Asleep At The Wheel,L102
The Very Best Of Rick Nelson,Ricky Nelson (2),L148
Anka,Paul Anka,L102
"Good, Bad But Beautiful",Shirley Bassey,L103
Counterpoints,Argent,L102
Attitude Dancing,Fred Astaire,L102
American Flyer,American Flyer,L101
Spirit Of A Woman,American Flyer,L101
Alice's Restaurant (Original Motion Picture Score),"Arlo Guthrie, Garry Sherman","Upstairs, soundtrack"
Lightfoot!,Gordon Lightfoot,L129
Sunday Concert,Gordon Lightfoot,L129
Long John's Blues,"Long John Baldry, The Hoochie Coochie Men",L103
Before We Were So Rudely Interrupted,The Animals,L102
Tap Root Manuscript,Neil Diamond,L114
In The Mood,Alexis Atari,L102
The Wraggle Taggle Gipsies,"Alfred Deller, Desmond Dupré, Taylor Recorder Consort",L120
In Concert,Joan Baez,L103
"'Bout Changes 'N Things, Take 2",Eric Andersen (2),L101
Greatest Folksingers Of The 'Sixties,Various,L121
David's Album,Joan Baez,L103
Four Strong Winds,Ian & Sylvia,L125
The Joan Baez Ballad Book,Joan Baez,L103
The Contemporary Ballad Book,Joan Baez,L103
A Country Dream,Eric Andersen (2),L101
The Joan Baez Lovesong Album,Joan Baez,L103
More Hits From Tin Can Alley,Eric Andersen (2),L101
Al Anderson,Al Anderson (2),L101
She Used To Wanna Be A Ballerina,Buffy Sainte-Marie,L152
Baldwin And Leps,Baldwin And Leps,L103
One Day At A Time,Joan Baez,L103
Back Seat Boogie,American Patrol,L101
Explodes,Hoyt Axton,L103
Assagai,Assagai,3103
Playback,The Appletree Theatre,L102
...For All The Seasons Of Your Mind,Janis Ian,L125
"Greetings, Children Of Paradise",Bear (9),L104
Days Of Madness,Balaam And The Angel,L103
Kiss,Age Of Chance,L101
One Thousand Years Of Trouble,Age Of Chance,L101
Greed,Ambitious Lovers,L101
Loud Day,Animation (6),L102
Loud Day,Animation (6),L102
Pure Electric Honey,Ant-Bee,L102
In The Beginning,"The Animals, Eric Burdon",L102
Birthday,The Association (2),L102
Avalanche,Eric Andersen (2),L101
The Anders & Poncia Album,Anders & Poncia,L101
Eric Andersen,Eric Andersen (2),L101
Greatest Hits!,The Association (2),L102
Love Me (For Being Me),Angela (9),L102
Fleetwood Mac Live,Fleetwood Mac,L118
"""Live""",The Association (2),L102
The Last Waltz,The Band,L103
America,America (2),L101
A Tribute To Woody Guthrie Part Two,Various,L119
All Good Men,Beaver & Krause,L104
Barefoot Jerry,Barefoot Jerry,L103
8th Street Nites,Back Door,L103
Wish You Were Here,Badfinger,L103
Hearts,America (2),L101
Hearts,America (2),L101
Paloma Blanca,George Baker Selection,L103
Hideaway,America (2),L101
Rumours,Fleetwood Mac,L118 2 copies
Harbor,America (2),L101
Life Beyond L.A.,Ambrosia (2),L101
Big Science,Laurie Anderson,L101
Communiqué,Dire Straits,L114
America's Children,America's Children,L101
Love It To Death,Alice Cooper,L101
Gandharva,Beaver & Krause,L104
Stop Your Motor,The Association (2),L102
Moonset,Joe Bauer,L103
Brothers In Arms,Dire Straits,L114
In A Wild Sanctuary,Beaver & Krause,L104
Mister Heartbreak,Laurie Anderson,L101
Home Of The Brave,Laurie Anderson,L101
Insight Out,The Association (2),L102
It's Everly Time! 12 Great Songs!,Everly Brothers,L117
The Times Of Our Lives,Aztec Two-Step,L103
Long Weekend,Babylon Pink,L103
Ajax,Ajax (2),L101
"No Name, No Slogan",Acid Horse,L101
Mind The Gap,Ajax (2),L101
Album,Assemblage,L102
Bob Beland,Bob Beland,2ND COPY
Action Swingers,Action Swingers,L101
Past Light,William Ackerman,L101
In Time,Renée Armand,L102
Babyface,Wing And A Prayer Fife And Drum Corps.,L103
The Best Of,Lerner & Loewe,Upstairs soundtracks
Spooks In Space,Aural Exciters,L103
Sing Along With Effi Netzer,Effi Netzer,upstairs various section
